country_key,country,score,gdp,social,life,freedom,generosity,corruption,residual
spain,Spain,6.436,1.798,1.491,0.567,0.533,0.101,0.157,1.789
italy,Italy,6.405,1.832,1.365,0.559,0.438,0.097,0.063,2.052
kosovo,Kosovo,6.368,1.374,1.269,0.372,0.639,0.275,0.045,2.393
chile,Chile,6.334,1.645,1.384,0.511,0.546,0.131,0.076,2.04
mexico,Mexico,6.33,1.55,1.169,0.389,0.632,0.086,0.115,2.389
malta,Malta,6.3,1.841,1.468,0.547,0.671,0.2,0.143,1.429
panama,Panama,6.265,1.714,1.402,0.475,0.63,0.065,0.036,1.943
poland,Poland,6.26,1.767,1.474,0.477,0.511,0.12,0.139,1.772
nicaragua,Nicaragua,6.259,1.109,1.292,0.385,0.66,0.148,0.218,2.448
latvia,Latvia,6.213,1.737,1.505,0.405,0.58,0.107,0.071,1.808
bahrain,Bahrain,6.173,1.883,1.269,0.389,0.748,0.199,0.138,1.546
guatemala,Guatemala,6.15,1.287,1.188,0.31,0.631,0.106,0.066,2.562
kazakhstan,Kazakhstan,6.144,1.664,1.491,0.389,0.628,0.136,0.149,1.688
serbia,Serbia,6.144,1.552,1.343,0.424,0.617,0.246,0.081,1.881
cyprus,Cyprus,6.13,1.824,1.224,0.58,0.455,0.104,0.05,1.893
japan,Japan,6.129,1.825,1.396,0.622,0.556,0.009,0.207,1.513
croatia,Croatia,6.125,1.727,1.455,0.475,0.5,0.087,0.003,1.88
brazil,Brazil,6.125,1.454,1.25,0.387,0.558,0.131,0.137,2.205
el salvador,El Salvador,6.122,1.278,1.044,0.383,0.713,0.079,0.222,2.403
hungary,Hungary,6.041,1.754,1.519,0.435,0.501,0.105,0.065,1.663
argentina,Argentina,6.024,1.59,1.388,0.427,0.587,0.088,0.082,1.861
honduras,Honduras,6.023,1.115,1.072,0.341,0.613,0.189,0.062,2.631
uzbekistan,Uzbekistan,6.014,1.227,1.347,0.375,0.74,0.26,0.208,1.856
malaysia,Malaysia,6.012,1.665,1.155,0.385,0.659,0.222,0.122,1.804
